=========================================
Tokens with their respective log-ratios: 
=========================================
   -0,03	–
    -0,2	#
   -0,27	#1
   -0,39	#2
   -0,22	#3
    -0,1	#4
   -0,12	#5
   -0,48	#6
   -0,18	#7
       0	#8
    -0,6	#9
       0	#t
   -0,76	$
   -1,11	$$
       0	$0
   -0,47	$1
    0,22	$1,000
   -0,12	$1,000,000
   -0,11	$10
    0,05	$10,000
    -0,2	$100
   -0,54	$100,000
   -0,22	$1000
    -0,3	$11
    -0,3	$12
     0,3	$12,000
       0	$13
   -0,37	$15
     0,3	$15,000
    0,18	$150
    -0,3	$2
   -0,54	$20
   -0,18	$200
    0,78	$25
    -0,3	$25,000
   -0,64	$3
   -0,48	$30
    0,48	$30,000
       0	$300,000
    0,18	$35
   -0,88	$4
     0,3	$40
     0,3	$40,000
   -0,18	$400
    -0,3	$49
   -0,63	$5
    -0,1	$50
   -0,12	$50,000
       0	$500
   -1,11	$6
       0	$60,000
    -0,7	$7
   -0,48	$75
   -0,74	$8
    -0,3	$80
   -1,11	$9
     0,3	$90
       0	$90,000
       0	%
     0,7	,a
    0,13	,and
     0,3	,are
       0	,as
    0,45	,but
     0,3	,etc
    0,48	,he
       0	,his
     0,4	,i
    -0,3	,if
    0,48	,in
   -0,48	,is
    0,12	,it
    -0,3	,it's
       0	,no
       0	,not
       0	,one
       0	,others
     0,6	,so
    0,48	,that
     0,4	,the
    0,48	,then
       0	,they
    0,18	,this
    0,18	,which
    0,65	,who
    -0,3	,you
   -0,44	@
       0	@#%
    -0,4	\
     0,3	^
       0	^^
     0,3	`101
     0,6	`a
       0	`action
     0,3	`all
       0	`batman
    -0,4	`black
       0	`by
    -0,3	`final
     0,3	`go
       0	`hush
   -0,18	`i
    -0,3	`if
       0	`it's
    -0,3	`kiss
       0	`la
       0	`man
       0	`mission
    0,18	`mr
       0	`new
     0,3	`no
       0	`one
     0,3	`our
       0	`re
       0	`real
       0	`something
    0,04	`the
       0	`whatever
       0	`who
   -0,48	`why
       0	`you
   -0,24	~
     0,3	¨
    0,48	“the
   -1,11	£1
   -0,48	£2
     0,6	£20
   -0,85	£3
   -0,18	£4
   -0,11	+
   -0,13	=
   -0,18	=d
     0,3	=p
    0,56	·
    0,04	
    0,23	
    0,48	the
    -0,7	0
   -0,09	00
   -0,37	000
    0,45	007
    0,48	00am
       0	00pm
     0,3	00s
       0	00's
    0,78	01
    0,26	02
     0,4	03
    -0,4	04
     0,4	05
   -0,26	06
     0,7	07
   -0,18	08
       0	09
    -0,4	½
   -0,33	1
       0	1%
    0,18	1,000
       0	1,3
    -0,3	1,500
    0,06	10
   -0,12	10%
    -0,6	10,000
     0,3	10+
   -0,07	100
    0,11	100%
    -0,3	100,000
     0,6	100+
   -0,26	1000
       0	1000s
       0	1001
       0	100s
    -0,3	100th
   -0,31	101
    -0,3	102
     0,7	103
    0,12	104
    -0,3	105
    -0,6	106
    -0,3	107
    -0,4	108
    -0,6	109
    -0,3	10pm
       0	10s
    -0,3	10's
    0,34	10th
       0	10x
    0,34	11
       0	110
     0,3	110%
    0,48	1100
       0	111
       0	112
   -0,48	115
    -0,6	116
   -0,18	117
    0,94	11th
    0,09	12
    0,18	120
       0	1200
     0,3	128
    -0,2	12th
    -0,1	13
       0	130
       0	1300s
    -0,3	131
     0,3	134
       0	135
    -0,3	138
       0	13s
   -0,48	13th
    0,13	14
   -0,06	140
       0	145
       0	146
       0	149
     0,4	14th
   -0,19	15
   -0,28	150
       0	1500s
       0	158
     0,4	15th
    0,01	16
    -0,3	160
       0	1600
    -0,3	1600's
    -0,3	163
   -0,48	168
    -0,6	1692
    0,26	16mm
    -0,9	16s
       0	16th
   -0,02	17
       0	170
    -0,2	17th
    0,12	18
    -0,3	18+
   -0,41	180
       0	180+
    0,07	1800s
     0,3	1800's
       0	1816
       0	183
     0,3	1839
   -0,12	1840
       0	1840s
       0	1840's
     0,3	1847
       0	185
    -0,3	1850
     0,3	1850s
     0,3	1853
    0,48	1860
       0	1860's
    0,48	1861
       0	1862
       0	1864
     0,3	1865
       0	1870s
